OBJECTID,SITENAME,COMMSITEID,COMMTYPE,COMMSUBTYP,ACREAGE,LASTVISIT,DATA_METHD,DATA_SOURC,DATA_EQUIP,DATA_EDTR,DATA_DATE,ASSOCDATA,SPECIESDAT,COMMENTS,ELCODE,EONMBR,IS_QAQC,GPS_PDOP,GPS_HDOP,GPS_HRZPR,Group_legend,Centroid_X,Centroid_Y,COMLABEL,SHAPE_Length,SHAPE_Area
1287,Canaan Mountain Natural Area Preserve,5,Acidic Rocky Summit Outcrop,Scrub Oak,0.64203934,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,2009/04/01 00:00:00+00, ,"Quercus rubra, Q montana, Q ilicifolia.Deschampsia flexuosa, Juncus greenii, Vaccinium angustifolium, Gaylussacia baccata","scrub oak deciduous woodland; Moorhead obs'd & recorded data in 1997",CT1A2A0000, ,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,844340.34908993,921341.55296459,AcRSO,1081.46535800397,-27967.2337333438
1288,Southington Mountain,0,Acidic Rocky Summit Outcrop,Grassy Glade/Bald,0.05761758,,Aerial Photo Interpretation,CT 2006 Color NAIP Ortho Photo,Not Applicable,CT DEP NHS,2009/04/01 00:00:00+00, , , ,CT1A2A0000, ,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,948450.33181443,782091.83802627,AcRSO,227.930478164466,-2509.82181939654
1289,West Branch Farmington River,0,Floodplain Forest,Low Floodplain,0.88040644,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, ,"Acer saccharinum, abundant invasives",based on LIDAR elevation plus Moorhead sample of N end & from bridge obs in 2005,CT2B1A0000, ,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Forested,941089.5775071,880971.54774677,FF,1754.45992717116,-38350.5049499045
1290,Pines Brook Ledges,0,Acidic Rocky Summit Outcrop,Scrub Oak,1.09098863,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,2009/04/01 00:00:00+00, , ,? scrubby deciduous woodland-steep bald complex,CT1A2A0000, ,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,909787.17652936,719570.69961735,AcRSO,1003.53580047839,-47523.4648070321
1291,Tobys Rock Mountain,0,Acidic Rocky Summit Outcrop,Scrub Oak,0.28774865,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,2009/04/01 00:00:00+00, , ,"? woodland; mixed deciduous and Pinus sp.",CT1A2A0000, ,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,912427.3730206,724421.54654294,AcRSO,500.730399017367,-12534.3311963968
1292,Rock Rimmon,0,Acidic Rocky Summit Outcrop,Scrub Oak,1.41036905,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,2009/04/01 00:00:00+00, , ,?mixed white pine-deciduous scrubby woodland-steep grassy bald complex,CT1A2A0000, ,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,912532.35246944,710873.86792968,AcRSO,1225.82937074823,-61435.6761004436
1293,Rock Rimmon,0,Acidic Rocky Summit Outcrop,Scrub Oak,0.3782783,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,2009/04/01 00:00:00+00, , ,"? deciduous woodland-bald complex; some Pinus sp. or Juniperus",CT1A2A0000, ,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,913271.78898268,712893.45345743,AcRSO,713.30878249449,-16477.8028141251
1294,Ragged Mountain,2,Subacidic Rocky Summit Outcrop,Scrub Oak,1.37327497,,GPS Field Data,Not Applicable,GPS Trimble GeoExplorer3,CT DEP NHS,, ,100+ Quercus ilicifolia, ,CT1A4A0000,0,True,5.7,2.5,0.936,Terrestrial Non-forested,980032.22764001,785821.27774585,SubRSO,1192.45491488823,-59819.8577222346
1295,Totoket Mountain,1,Dry Subacidic Forest,Ash/Hickory Glade,10.4425371,2008/08/14 00:00:00+00,GPS Field Data,Not Applicable,GPS Trimble GeoExplorer3,CT DEP NHS,2008/08/14 00:00:00+00, ,, ,CT2G4A1000,0,True, , , ,Terrestrial Forested,995962.49466393,707080.59237976,DSF,3042.79854434005,-454876.916397947
1296,Totoket Mountain,2,Dry Subacidic Forest,Ash/Hickory Glade,16.46390725,2008/08/14 00:00:00+00,GPS Field Data,Not Applicable,GPS Trimble GeoExplorer3,CT DEP NHS,2008/08/14 00:00:00+00, ,"grass/sedge 70%, Acer saccharum, Carya glabra/ovata, Quercus alba, C. glabra/ovalis", ,CT2G4A1000,0,True, , , ,Terrestrial Forested,995627.17315611,705579.82372777,DSF,4190.10176817343,-717167.800143969
1297,Totoket Mountain,3,Dry Subacidic Forest,Ash/Hickory Glade,1.33377954,2008/08/14 00:00:00+00,GPS Field Data,Not Applicable,GPS Trimble GeoExplorer3,CT DEP NHS,2008/08/14 00:00:00+00, ,"Fraxinus americana, Carya glabra/ovata, Acer saccharum, Quercus rubra, Erechtites hieracifolium, Rosa multiflora, grass/sedge 90%", ,CT2G4A1000,0,True, , , ,Terrestrial Forested,994757.24674636,704874.03609734,DSF,1177.68748014649,-58099.4368984991
1298,Totoket Mountain,4,Dry Subacidic Forest,Ash/Hickory Glade,16.78112774,2008/08/14 00:00:00+00,GPS Field Data,Not Applicable,GPS Trimble GeoExplorer3,CT DEP NHS,2008/08/14 00:00:00+00, ,"Fraxinus americana, Carya glabra/ovata, Acer saccharum, Quercus rubra, Erechtites hieracifolium, Rosa multiflora, grass/sedge 90%", ,CT2G4A1000,0,True, , , ,Terrestrial Forested,994056.93449869,704113.82469126,DSF,4585.84098883405,-730985.924790949
1299,"Bear Hill, Middletown",0,Acidic Rocky Summit Outcrop,Grassy Glade/Bald,0.12064836,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,2009/04/01 00:00:00+00, , , ,CT1A2A0000, ,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,1044092.85640827,750409.23899002,AcRSO,318.309759406283,-5255.44294763366
1300,"Bear Hill, Middletown",0,Acidic Rocky Summit Outcrop,Grassy Glade/Bald,0.08795221,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,2009/04/01 00:00:00+00, , , ,CT1A2A0000, ,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,1043933.88133253,750455.18673276,AcRSO,313.074151960288,-3831.19833871474
1301,"Bear Hill, Middletown",0,Acidic Rocky Summit Outcrop,Grassy Glade/Bald,0.29109449,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,2009/04/01 00:00:00+00, , , ,CT1A2A0000, ,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,1044463.4120976,750235.13500751,AcRSO,499.452198664248,-12680.0761553682
1302,"Bear Hill, Middletown",0,Acidic Rocky Summit Outcrop,Grassy Glade/Bald,0.21717864,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,2009/04/01 00:00:00+00, , , ,CT1A2A0000, ,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,1044415.39054011,750111.17003235,AcRSO,554.143833203814,-9460.30173258371
1303,"Bear Hill, Middletown",0,Acidic Rocky Summit Outcrop,Grassy Glade/Bald,0.23974072,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,2009/04/01 00:00:00+00, , , ,CT1A2A0000, ,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,1044506.0658837,749987.11122535,AcRSO,619.6564678471,-10443.1058262528
1304,Farmington River,0,Floodplain Forest,Low Floodplain,2.78397831,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , , ,CT2B1A0000, ,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Forested,957707.38515068,843470.40063636,FF,2925.66156843943,-121270.095573558
1305,Farmington River,0,Floodplain Forest,Low Floodplain,0.09882181,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , , ,CT2B1A0000, ,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Forested,957368.06922827,843664.92715019,FF,349.039707569897,-4304.67832839775
1306,Farmington River,0,Floodplain Forest,High Floodplain,0.72980681,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , , ,CT2B1A0000, ,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Forested,957750.45363411,843377.2305471,FF,1346.177573479,-31790.3850272589
1307,Farmington River,0,Floodplain Forest,High Floodplain,25.0647,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , ,Some areas may not have flooded since 1955 & subsequent flood control,CT2B1A0000, ,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Forested,957483.13363069,842831.89732018,FF,8585.5908286816,-1091818.33224541
1308,Farmington River,0,Floodplain Forest,Alluvial Swamp,0.92881719,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , , ,CT2B1A0000, ,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Forested,985108.31591302,864393.95557393,FF,1262.03449211176,-40459.2771672444
1309,Thorpe Mountain,0,Acidic Rocky Summit Outcrop,Pitch Pine,0.18544646,,Aerial Photo Interpretation,CT 2006 Color NAIP Ortho Photo,Not Applicable,CT DEP NHS,, , ,"bald with significant cover of shrub and/or tree-size pitch pine; don't know for sure that evergreen cover is pitch pine",CT1A2A0000,0,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,801826.63752961,921753.65187794,AcRSO,370.541763663801,-8078.04812628794
1310,Phoenixville,0,Acidic Atlantic White Cedar Swamp,Cedar/Hardwood,26.56721144,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , , ,CP2B2A3000,0,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Forested,1187919.75641794,877686.79020868,AAWCS,5067.39298982659,-1157267.73048957
1311,Higby Mountain,0,Subacidic Cold Talus Forest/Woodland,,0.43882951,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , , ,CT1C3A1000,0,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Forested,1001373.96218744,757872.92091302,SubCTFW,984.884155297136,-19115.4135435824
1312,West River,1,Intertidal Marsh,Salt Marsh,291.67076548,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , , ,CE1B1A0000,0,True,Not Applicable,Not Applicable,Not Applicable,Estuarine,1017669.51391386,659107.51739434,IM,46567.4058923885,-12705178.5446631
1313,"Hammonasset State Park, Hammonasset River",0,Intertidal Marsh,Salt Marsh,679.32440824,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , , ,CE1B1A0000,9,True,Not Applicable,Not Applicable,Not Applicable,Estuarine,1055944.92948885,654288.33280701,IM,111584.56676166,-29591371.2231282
1314,Bird Peak,0,Acidic Rocky Summit Outcrop,Scrub Oak,1.21373357,,Aerial Photo Interpretation,CT 2006 Color NAIP Ortho Photo,Not Applicable,CT DEP NHS,, , , ,CT1A2A0000,0,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,801124.94930043,918018.68592268,AcRSO,943.632855878645,-52870.2344889057
1315,Kitchell Wilderness Natural Area Preserve,0,Dry Subacidic Forest,Ash/Hickory Glade,4.43911824,,GPS Field Data,Not Applicable,Unknown,CT DEP NHS,, , , ,CT2G4A1000,0,True,Unavailable,Unavailable,Unavailable,Terrestrial Forested,914619.21443744,926516.16925576,DSF,2629.63366615393,-193367.990541154
1316,Sleeping Giant State Park,9,Subacidic Rocky Summit Outcrop,Grassy Glade/Bald,0.15913371,,Aerial Photo Interpretation, , ,CT DEP NHS,, , , ,CT1A4A0000,0,True,4.8,2.2,1.029,Terrestrial Non-forested,962974.96877561,716701.74866235,SubRSO,420.785066009762,-6931.86465509865
1317,Tariffville Powerline ,0,Subacidic Rocky Summit Outcrop,Grassy Glade/Bald,3.84900818,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,,,Bluestem grassland on ,Moorhead,CT1A4A0000,0,True, , , ,Terrestrial Non-forested,998316.67072986,890099.87758718,SubRSO,3623.48990048932,-167662.796504525
1318,Thorpe Mountain,0,Acidic Rocky Summit Outcrop,Grassy Glade/Bald,0.1717268,,Aerial Photo Interpretation,CT 2006 Color NAIP Ortho Photo,Not Applicable,CT DEP NHS,, , ,"?bald with shrub and/or tree-size pitch pine; don't know for sure that evergreen cover is pitch pine",CT1A2A0000,0,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,802105.05396752,922896.82642886,AcRSO,571.140907101856,-7480.41954433043
1319,Thorpe Mountain,0,Acidic Rocky Summit Outcrop,Grassy Glade/Bald,0.06351493,,Aerial Photo Interpretation,CT 2006 Color NAIP Ortho Photo,Not Applicable,CT DEP NHS,, , ,bald or bald - scrub oak scrub complex,CT1A2A0000,0,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,801748.63735751,922735.1072641,AcRSO,206.256570492904,-2766.71037131353
1320,Thorpe Mountain,0,Acidic Rocky Summit Outcrop,Grassy Glade/Bald,0.05254831,,Aerial Photo Interpretation,CT 2006 Color NAIP Ortho Photo,Not Applicable,CT DEP NHS,, , ,bald or bald - scrub oak scrub complex,CT1A2A0000,0,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,801870.2535841,923196.83173435,AcRSO,184.520580964224,-2289.00471843424
1321,Bear Mountain,0,Acidic Rocky Summit Outcrop,Pitch Pine,0.31358899,,Aerial Photo Interpretation,CT 2006 Color NAIP Ortho Photo,Not Applicable,CT DEP NHS,2008/11/03 00:00:00+00,Not Applicable, ,pitch pine - scrub oak woodland: check Moorhead data ca. 1999,CT1A2A0000,0,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,807465.31227585,941934.06853802,AcRSO,608.941954401669,-13659.9364561461
1322,Bear Mountain,11,Acidic Rocky Summit Outcrop,Grassy Glade/Bald,1.2248903,,Aerial Photo Interpretation,CT 2006 Color NAIP Ortho Photo,Not Applicable,CT DEP NHS,2008/11/03 00:00:00+00,Not Applicable, ,bald - scrub oak scrub complex,CT1A2A0000,0,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,808007.05299027,941715.14279477,AcRSO,1208.31503305234,-53356.2216762823
1323,Bear Mountain,12,Acidic Rocky Summit Outcrop,Grassy Glade/Bald,0.05073138,,Aerial Photo Interpretation,CT 2006 Color NAIP Ortho Photo,Not Applicable,CT DEP NHS,2008/11/03 00:00:00+00,Not Applicable, , ,CT1A2A0000,0,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,809242.60498111,942718.30614277,AcRSO,184.925864014139,-2209.85925765464
1324,West Branch Farmington River,0,Floodplain Forest,Low Floodplain,0.1757533,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , , ,CT2B1A0000, ,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Forested,936403.3053836,888055.53620344,FF,519.53189957604,-7655.81399692952
1325,NE Riga Plateau,1,Acidic Rocky Summit Outcrop,Scrub Oak,1.16865396,,Aerial Photo Interpretation,CT 2006 Color NAIP Ortho Photo,Not Applicable,CT DEP NHS,, ,"Quercus ilicifolia, Q rubra, Q, montana, Pinus rigida, Schizachyrium, Vaccinum spp., Deschampsia flexuosa","scrub oak stunted mixed woodland, w/ some shrub-size pitch pine; Ash-Hickory nearby, re Moorhead 1998 field notes",CT1A2A0000,0,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,812949.40727877,938284.35208419,AcRSO,850.292578416651,-50906.5667935154
1326,Decker Brook headwater peak,0,Acidic Rocky Summit Outcrop,Scrub Oak,0.56047544,,Aerial Photo Interpretation,CT 2006 Color NAIP Ortho Photo,Not Applicable,CT DEP NHS,, , ,scrub oak scrub - bald complex,CT1A2A0000,0,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,803501.6833921,931863.61230102,AcRSO,935.454061726706,-24414.310587049
1327,West Branch Farmington River,0,Floodplain Forest,Low Floodplain,0.51611058,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , ,"hiihger quality Platanus-Ulmus yearly scoured cobble bar forest; Moorhead obs'd & described in 2005",CT2B1A0000, ,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Forested,937133.98108761,887260.9538031,FF,974.55719380949,-22481.7769962362
1328,West Branch Farmington River,0,Floodplain Forest,Alluvial Marsh,0.4271849,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , ,"4 ft above LIDAR water el, so probably still floods",CT2B1A0000, ,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,937063.70071636,887828.09932234,FF,618.779542018865,-18608.1745719595
1329,West Branch Farmington River,0,Floodplain Forest,Alluvial Swamp,0.67230178,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , ,"looks on aerials like shrubby woodland;",CT2B1A0000, ,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Forested,936925.29416902,888103.07022909,FF,882.170096247395,-29285.4656897295
1330,Mattatuck State Forest,0,Acidic Rocky Summit Outcrop,Pitch Pine,3.95173498,,Aerial Photo Interpretation,CT 2006 Color NAIP Ortho Photo,Not Applicable,CT DEP NHS,2009/04/01 00:00:00+00, ,"Pinus rigida, Quercus ilicifolia, Amelanchies arborea, Vaccinium angustifolium, cf. Callophrys angustinus","stunted pitch pine woodland with scrub oak & low heath; Moorhead lastobs 4/25/2004",CT1A2A0000, ,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,916770.03001768,787354.93675202,AcRSO,1695.73107872557,-172137.575921875
1331,Naugatuck State Forest,0,Acidic Rocky Summit Outcrop,Grassy Glade/Bald,1.24029979,,Aerial Photo Interpretation,CT 2006 Color NAIP Ortho Photo,Not Applicable,CT DEP NHS,2009/04/01 00:00:00+00, ,"Quercus montana, Quercus ilicifolia, Carex pensylvanica","grassy/sedgy bald-scrub oak scrub-scrubby deciduous woodland complex;  Devine 2008 photo -114",CT1A2A0000, ,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,918869.84209102,726490.0942431,AcRSO,1188.10064055525,-54027.4589701052
1332,Naugatuck State Forest,0,Acidic Rocky Summit Outcrop,Scrub Oak,0.85703448,,Aerial Photo Interpretation,CT 2006 Color NAIP Ortho Photo,Not Applicable,CT DEP NHS,2009/04/01 00:00:00+00, , ,scrubby deciduous woodland-bald complex,CT1A2A0000, ,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,919252.76947477,726731.68135835,AcRSO,754.979444585791,-37332.4222928564
1333,Naugatuck State Forest,0,Acidic Rocky Summit Outcrop,Scrub Oak,2.30214004,,Aerial Photo Interpretation,CT 2006 Color NAIP Ortho Photo,Not Applicable,CT DEP NHS,2009/04/01 00:00:00+00, , ,scrubby deciduous woodland-bald complex,CT1A2A0000, ,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,918014.54196435,726032.6778351,AcRSO,1706.49206160027,-100281.220451067
1334,Goshen Wildlife Area,0,Acidic Red/Black Spruce Basin Swamp,,0.33317814,,Aerial Photo Interpretation,CT 2006 Color NAIP Ortho Photo,Not Applicable,CT DEP NHS,2009/04/01 00:00:00+00, , ,Gadwa 2002 EOR w point map implies scattered Picea may be here,CP2B2A4000, ,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Forested,867482.17419727,891381.01708526,AcR/BSS,495.069843878472,-14513.2400982162
1335,Farmington River,0,Floodplain Forest,Low Floodplain,0.93030611,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , ,based on LIDAR elevations and imagery,CT2B1A0000, ,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Forested,953303.95793394,854147.28840327,FF,1540.47565463304,-40524.1345196225
1336,Farmington River,0,Floodplain Forest,High Floodplain,2.09289881,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , ,"May no longer flood due to upstream flood control, based on LIDAR 2000 elevation",CT2B1A0000, ,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Forested,953212.28292043,854217.1734341,FF,1692.9881799248,-91166.6723481724
1337,Farmington River,0,Floodplain Forest,High Floodplain,7.17142232,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , ,Some areas may not have flooded since 1955 & subsequent flood control,CT2B1A0000, ,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Forested,952027.7564181,853252.39288336,FF,2925.70195236265,-312387.15636549
1338,Farmington River,0,Floodplain Forest,Low Floodplain,0.06123386,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , , ,CT2B1A0000, ,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Forested,952078.12606802,851825.45282384,FF,279.873388531216,-2667.34696432134
1339,Farmington River,0,Floodplain Forest,Low Floodplain,2.27543887,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , , ,CT2B1A0000, ,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Forested,952007.44051386,851752.35880993,FF,3083.13777691757,-99118.1175465874
1340,Farmington River,0,Floodplain Forest,High Floodplain,0.59408953,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , , ,CT2B1A0000, ,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Forested,952069.78323693,852114.10152477,FF,904.149778110954,-25878.5402318569
1341,Unnamed CT River Beachshore,65,Beachshore,Riverine,0.03043488,,Aerial Photo Interpretation,CT 2005 Coastal Infrared Ortho Photo,Not Applicable,CT DEP NHS,, , ,upper sandy mainland shore under canopy gap,CE1C3A0000,0,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,1054225.4460512,743709.92496085,B,277.723579821205,-1325.74362544184
1342,Unnamed CT River Beachshore,60,Beachshore,Riverine,0.01238529,,Aerial Photo Interpretation,CT 2005 Coastal Infrared Ortho Photo,Not Applicable,CT DEP NHS,, , ,upper sandy mainland shore under canopy gap,CE1C3A0000,0,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,1052225.02715178,763178.48149611,B,116.046737215655,-539.50341017747
1343,Haddam Island,3,Beachshore,Riverine,0.04243551,,Aerial Photo Interpretation,CT 2005 Coastal Infrared Ortho Photo,Not Applicable,CT DEP NHS,, , ,"lateral island shore w/o canopy, thinly vegetated",CE1C3A0000,0,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,1063705.75550261,740310.3540041,B,213.29062889769,-1848.49089424246
1344,Haddam Island,2,Beachshore,Riverine,0.03807155,,Aerial Photo Interpretation,CT 2005 Coastal Infrared Ortho Photo,Not Applicable,CT DEP NHS,, , ,lateral island shore w/o canopy,CE1C3A0000,0,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,1063532.50059977,740478.76738119,B,297.259389132752,-1658.39688854378
1345,Unnamed CT River Beachshore,70,Beachshore,Riverine,0.09566107,,Aerial Photo Interpretation,CT 2005 Coastal Infrared Ortho Photo,Not Applicable,CT DEP NHS,, , ,"beach adj to residence or marina; residential disturbance, poss additional habitat upstream",CE1C3A0000,0,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,1077593.5682781,725618.96573601,B,579.641814433724,-4166.99661447008
1346,Gridley Mountain,0,Acidic Rocky Summit Outcrop,Scrub Oak,0.17413372,,Aerial Photo Interpretation,CT 2006 Color NAIP Ortho Photo,Not Applicable,CT DEP NHS,, , , ,CT1A2A0000,0,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,805137.89731127,940661.49037452,AcRSO,491.458774302603,-7585.26524488029
1347,Farmington River,0,Floodplain Forest,High Floodplain,0.93268984,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,2009/06/06 00:00:00+00, , ,May not have flooded since 1955 & subsequent flood control,CT2B1A0000, ,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Forested,986175.30459269,876289.15028743,FF,1149.86186820821,-40627.9694726385
1348,Farmington River,0,Floodplain Forest,Alluvial Marsh,0.68849209,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,2009/06/06 00:00:00+00, , ,complex of marsh and shrub swamp in power line ROW,CT2B1A0000, ,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,986907.46848268,876541.9142176,FF,996.526064978481,-29990.7157532601
1349,Farmington River,0,Floodplain Forest,Undifferentiated,8.9254925,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,2009/06/06 00:00:00+00, , ,"Maybe low floodplain; LIDAR elevation below H/L trans'n on riverside (152') but road and culvert diam's may restrict flooding by river; looks like high floodplain in brid's-eye imagery",CT2B1A0000, ,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Forested,987159.93156044,876927.68247494,FF,5465.6622593322,-388794.453497011
1350,Thorpe Mountain,0,Acidic Rocky Summit Outcrop,Pitch Pine,0.08092153,,Aerial Photo Interpretation,CT 2006 Color NAIP Ortho Photo,Not Applicable,CT DEP NHS,, , ,"bald with significant cover of shrub and/or tree-size pitch pine; don't know for sure that evergreen cover is pitch pine",CT1A2A0000,0,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,802083.48412877,923052.95177276,AcRSO,234.2015918836,-3524.94197702988
1351,Thorpe Mountain,0,Acidic Rocky Summit Outcrop,Grassy Glade/Bald,0.19613843,,Aerial Photo Interpretation,CT 2006 Color NAIP Ortho Photo,Not Applicable,CT DEP NHS,, , ,"?bald with shrub and/or tree-size pitch pine; don't know for sure that evergreen cover is pitch pine",CT1A2A0000,0,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,802111.53623803,922591.64265601,AcRSO,366.711373047786,-8543.79024299231
1352,Willington Cedar Swamp,2,Acidic Atlantic White Cedar Swamp,Cedar Swamp,4.19817109,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , ,co dominated with white pine,CP2B2A3000,30,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Forested,1128742.37641336,867482.15937127,AAWCS,2047.25095124024,-182872.333076216
1353,Kelsey Island,0,Beachshore,Salt,7.11843883,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , , ,CE1C1A0000,7,True,Not Applicable,Not Applicable,Not Applicable,Estuarine,971225.2377081,651189.65658968,B,5777.33872836537,-310079.195757208
1354,Lordship Beach,0,Beachshore,Salt,17.15686162,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , ,extensive back barrier flats,CE1C3A0000,3,True,Not Applicable,Not Applicable,Not Applicable,Estuarine,899094.35211452,616182.6573781,B,13462.5802360394,-747352.892426761
